SKILLS
"Python, Data Analysis, Machine Learning, Statistics, SQL, Communication, Leadership, Problem Solving"
"CSS, Web technologies, Front end, SSR, Analytical, Javascript, Management, SDLC"
"Assistant Manager Finance, SAP, External audit, Manager Indirect Taxation, Sales tax, Litigation, Reconciliation, VAT"
"Breakdown maintenance, Senior Executive, Pharma, Packaging, GMP, Risk management, Troubleshooting, Senior Production Executive"
"Training, Supervisor, USFDA, GMP, Troubleshooting, MHRA, Preventive maintenance, Auditing"
"Training, QA, Supervisor, Warehouse, Pharma, GMP, Risk management, Troubleshooting"
"opd, intensive care, administration, gnm, critical care, nursing, medication administration, medicine"
"health care services, administration, gnm, nursing, infection control, medication administration, medicine, hospital administration"
"Product management, Data migration, GIT, Project management, Analytical, Consulting, Selenium, Customer engagement"
"sd, project management, sap, ibp, ewm, sap sd, logistics, sap implementation"
"Pyspark, EMR, Aws Glue, AWS, Data, Glue"
"sd, project management, sap, ibp, ewm, sap sd, logistics, sap implementation"
"sfdc, change management, sap s hana, arabic, french, functional, project management, sap"
"Good Comm Skills, Computer Skills, Comm Skills, Computer, Hiring, Stores, Comm, Retail outlets"
"Cold Calling, Mentoring, Outbound Calling, Cold, Outbound, Calling, S"
"Mechanical, Inspection, Industrial projects, Electricals, Industrial, Site engineering, Site, Project"
"health care services, equipment, orthopedics, ortho, nursing, medicine, patient care, general medicine"
"Performance tuning, Automation, Networking, VPN, Consulting, Javascript, Firmware, SCM"
"Telecom, VMware, Network design, VAS, Customer service, Network planning, Troubleshooting, Technical support"
"Redhat, Service level, Managed services, Performance management, Customer service, Troubleshooting, Resource management, Technical support"
"Medical affairs, Networking, Process orientation, Alliance management, Relationship building, Patient care, Oncology, Healthcare"
"CTQ, SAP, ISO, Quality Assurance Professional, Manufacturing process, External audit, Packaging, PFMEA"
"python, data analysis, oracle, hypothesis testing, sas, business requirements, data manipulation, data mining"
"pacemaker, x-ray, echocardiography, ecg, dm, infection control, echo, nursing"
"Telecom, Network design, Managed services, Linux, Security management, Network security, Customer service, Open source"
"Access management, Enterprise architecture, TDD, Agile, splunk, JSON, test driven development, Selenium"
"Delivery excellence, Management consulting, Consulting, Agile, UAT, Credit analysis, Scrum, Credit assessment"
"laparoscopy, opd, nursing, medicine, infertility, patient care, ultrasound, general medicine"
"Computer science, Product engineering, Skill development, data science, Focus, Strategic planning, Management, Analytics"
"Analytical skills, Redhat, Managed services, Network design, Customer service, Individual Contributor, cisco, Operations"
"Unix, jQuery, LDAP, MySQL, PHP, HTML, Perl, Apache"
"Analytical skills, Data analysis, Excel, Sales operations, data governance, Data quality, data integrity, Salesforce CRM"
"Automation, Version control, VBA, Analytical, Management, MS Office, Sharepoint, Testing"
"Data Science, Big Data Analytics, Logistic Regression, Ai Techniques, Artificial Intelligence, Data Mining, Data Extraction, Machine Learning"
"aws glue, python, Data engineer, Snowflake, sql, Glue, Data, AWS"
"Sales, Student Counseling, Admission Counselling, Admission Counsellor, Academic counsellor, Edtech sales, Business Development, Education Counseling"
"cluster, windchill components, windchill advanced deployments, Windchill, Infrastructure management, Components, Management, Clustering"
"Transformation, Training And Development, Learning And Development, Delivery, Solutioning, Management, Training, Managed services"
"Transformation, Capital Markets, Fund Accounting, Derivatives, Fixed Income, Fixed Income Derivatives, Delivery, Management"
"HNI, RD, CASA, Mutual Fund, PMS, UHNI, SIP, Fixed Deposit"
"customer service, customer care, process improvement, workforce management, service delivery, operations management, project management, team management"
"Artificial Intelligence, Natural Language Processing, Gen AI, AWS, Python, Tensorflow, Generative AI, Langchain"
"Office, Microsoft Teams, O365, Sharepoint, Onedrive, Mail Flow, Azure Active Directory, MS Exchange"
"Model Risk, Market Risk, Risk Analytics, Model Validation, Risk Modeling, Analytics, Modeling, Data validation"
"Consulting, Supply Chain Management, Supply Chain, Supply Chain Solutions, Supply, Senior, Management"
"Service Training, Consumer Durables, Sales Training, Product Training, Process Training, Training And Development, Sales, Development"
"GenAI, LLM, NLP, Bert, Azure, Lstm, Neural Networks, GPT"
"Fusion Scm, Scm Cloud, SCM, Cloud, Oracle Fusion SCM, Oracle Fusion, Oracle, Fusion"
"Fusion Scm, Scm Cloud, Oracle, Functional, Fusion, SCM, Oracle Fusion SCM, Oracle Fusion"
"English, Inbound Process, BPO, Customer Service, Email, Calling, Outbound Process, asap"
"pardot, sales, salesforce, salesforce marketing cloud, sfmc, digital marketing, email marketing, ampscript"
"Angularjs, java, J2Ee, Java Fullstack, Spring Boot, React.Js, Rest Api Services, Development"
"Azure, Data Engineering, Java, Cloudera, Onpremise, Hadoop, SCALA, Spark"
"fico, sap, fscm, collection management, end to end implementation, fixed assets, gl, presentation skills"
"Inside Sales, Loans, Credit cards, Lead Management, B2B Sales, Driving Sales, Revenue Generation, Professional Skills"
"DSA, Lap, Loan Against Property, Secured Loan, HL, Mortgage, Sales, Sales management"
"SCCM, windows os, center management, microsoft tools, release management, sccm administration, powershell scripting, mysql"
"Sentinel, Azure Sentinel, KQL, Microsoft Azure, Architecture"
"Corporate Tie-ups, Tpo, Corporate Relations, Corporate Relation, Placement, Placement Coordination, Training And Placement, Corporate Relationship Management"
"angular, Unit Testing, Typescript, Software testing, Hiring, Development, UNIT"
"HR Generalist Activities, Exit Interviews, onboarding, Employee Life Cycle, hr operations, induction, Joining Formalities, Hrsd"
"Microsoft Dynamics AX, Ax Technical, Dynamics 365, MS Dynamics AXAPTA, Microsoft Dynamics, Microsoft Dynamics AXAPTA, Microsoft Dynamics Ax Technical, Consulting"
"Vegetables, Fruit, Quality Check, Agriculture, LIFO, training, GMP, FIFO"
"Fault Management domain, solutioning, Product Roadmap, Portfolio, Architecture, Netcool, DNS, Noi"
"sd, project management, sap, ibp, ewm, cif, freight, sap sd"
"HCM Integration, Workday Functional, Workday Hcm, Workday Technical, Workday, Technical, Architecture, Integration""Outbound, Administration, Lead generation, Networking, MS Office, Order processing, Sales Support Representative, Sales support"
"Customer acquisition, Outbound, Social media, network services, Sales Executive, Inside sales, Inside Sales Representative, Operations"
"SAP, Manager Indirect Taxation, Litigation management, Appeals, Litigation matters, Business advisory, Taxation, Indirect taxation"
"Training, Technical Administrator, Standard operating procedures, Packaging, Manufacturing operations, Machinery, Operations, Monitoring"
"BPO, Manager Quality Assurance, Social media, Machine learning, Agile, HTTP, Customer service, Consumer electronics"
"BPO, Manager Quality Assurance, Social media, Machine learning, Agile, HTTP, Customer service, Consumer electronics"
"TCP, Computer science, VMware, Linux, Test strategy, Bloomberg, SCTP, Signalling"
"TCP, Computer science, VMware, Linux, Agile, Telecommunication, JSON, JIRA"
"Unix, Telecom, VMware, Linux, Project management, Presales, Perl, Technical support"
"Computer science, Manager Quality Assurance, Testing tools, TDD, Agile, test driven development, Selenium, software quality"
"Unix, Basic, Change management, SOC, OEM, SIEM, Windows, Troubleshooting"
"Computer science, Automation, GIT, Image processing, Finance, Machine learning, Agile, JIRA"
"Computer science, Automation, GIT, Image processing, Coding, Finance, Machine learning, JIRA"
"event management, solution development, presales, grc, security information and event management, risk assessment, cloud security, cyber security"
"Insurance, Data Warehouse Testing, Database Testing, Hub, Data, Warehouse, DBMS, Software testing"
"Computer science, GIT, Linux, Networking, Configuration management, PAAS, Shell scripting, Windows"
"Outbound, Career development, Relationship building, Banking, Agile, Wellness, Customer relationship, Customer service"
"Computer science, Telecom, C++, MIS, Debugging, Data structures, Healthcare, Application development"
"Analytical skills, Delivery excellence, Loans, Business Analyst, Senior Analyst, Business analysis, Management consulting, business rules"
"Analytical, Artificial Intelligence, Intellectual property, Machine learning, Radio, Research, Continuous improvement, Intelligence"
"General surgery, Assistant Associate, Registrar, query, Radiology, Critical care, Anesthesia, Cardiology"
"Business process, ERP, Change management, SAP, Analytical, Consulting, Test scenarios, Warehouse management"
"ERP, SAP, Analytical, Project planning, Data quality, data integrity, Warehouse management, Operations"
"Drupal, Automation, Product engineering, Analytical, MySQL, Agile, Unit testing, Python"
"Telecom, System architecture, Automation, Ethernet, LAN, Customer service, Operations, Technical support"
"NoSQL, Intellectual property, Technology leadership, Data quality, Research, Continuous improvement, IEEE, SQL"
"Administration, Trade, ISMS, Fixed income derivatives, Information security, ISO 27001, Back office, Investment banking"
"github, GCP, Shell scripting, Hadoop, Agile methodology, sqoop, Teradata, Troubleshooting"
"Process automation, Automation, GCP, Analytical, devops, Agile, Software development life cycle, Release management"
"Computer science, Ticketing, US GAAP, Excel, Financial reporting, Financial accounting, Invoice processing, Corporate credit"
"Computer science, Backend, Product engineering, Service level, Machine learning, SCALA, Analytics, Python"
"jQuery, Front end, Wealth management, TDD, Analytical, Agile, Scrum, Investment banking"
"Front end, adobe analytics, Web technologies, Web services, Architecture, Project leadership, JSP, Javascript"
"CSS, Web technologies, Front end, SSR, Analytical, Javascript, Management, SDLC"
"Assistant Manager Finance, SAP, External audit, Manager Indirect Taxation, Sales tax, Litigation, Reconciliation, VAT"
"opd, intensive care, administration, gnm, critical care, nursing, medication administration, medicine"
"Production support, UML, XML, Project management, Javascript, Flex, Presales, J2Ee"
"Data modeling, Testing tools, Cloud, Back office, Middleware, Release management, Apex, SQL"
"Product management, Data migration, GIT, Project management, Analytical, Consulting, Selenium, Customer engagement"
"Payroll, SAP HCM, sap payroll, SAP, Consulting, HCM"
"SAP CO, CATS, S/4 HANA, SAP implementation, CO data migration, SAP Cost Element Accounting, SAP- HCM, SAP PS"
"Quality frameworks, process training, lean six sigma, SAFe, Lean & Six Sigma, ITIL, quality consultant, DevOps"
"Operational Risk, Risk Mitigation, Control Design, Operational Risk Management, Rcsa, Control Testing, Risk Compliance, Risk Control"
"Java, Agile Methodology, Code reviews, Node JS framework, Java Back End, Node JS, MongoDB, Band-u4"
"sd, project management, sap, ibp, ewm, sap sd, logistics, sap implementation"
"Pyspark, EMR, Aws Glue, AWS, Data, Glue"
"sap, sap knowledge, successfactors, sap hana, agile methodology, design documents, project management, storyboarding"
"sd, project management, sap, ibp, ewm, sap sd, logistics, sap implementation"
"sfdc, change management, sap s hana, arabic, french, functional, project management, sap"
"Good Comm Skills, Computer Skills, Comm Skills, Computer, Hiring, Stores, Comm, Retail outlets"
"Fusion Scm, Scm Cloud, Oracle, Functional, Fusion, SCM, Oracle Fusion SCM, Oracle Fusion"
"Fusion Scm, Scm Cloud, Cloud, Fusion, SCM, Oracle Fusion, Oracle, Oracle Fusion SCM"
"golang, dbms, linux, python, troubleshooting, kubernetes, curl, openldap"
"mdx, data warehousing, plsql, sql, tm, physical design, python, software development"
"golang, java, gcp, linux, troubleshooting, kubernetes, curl, openldap"
"sap c4c sdk, sap, pdi, business objects, debugging, functional specifications, adobe forms, sap sd"
"sql tuning, disaster recovery, db dba, database security, database backup, continuous integration, kubernetes, hipaa"
"Computer science, C++, Prototype, GCP, Consulting, Machine learning, Agile, Data structures"
"Ascp, Oracle SCM, Oracle Manufacturing, Value chain Planning, VCP, Supply, Vcpp, SCM"
"Cold Calling, Mentoring, Outbound Calling, Cold, Outbound, Calling, S"
"Clinical Data Management, Data, Management, Data management, Clinical Data, Clinical"
"Statutory Audit, BFSI Audit, Bank Audit, Manufacturing Audit, Ind As, Limited Review, Indian Gaap, Company Audit"
"Computer science, Automation, devops, Debugging, Cloud, clinical development, Infrastructure, Deployment"
"Procurement, Sales, Networking, Analytical, Finance, Manager Technology, Financial Analyst, commercial finance"
"BPO, Customer Service Representative, Agile, Infrastructure, Customer service, Customer experience, ARM, Gaming"
"Financial statements, Data analysis, Financial analysis, Analytical, Billing, Revenue recognition, Manager Technology, Forecasting"
"GIT, Linux, Networking, Configuration management, PAAS, Shell scripting, Windows, Troubleshooting"
"Automation, Project management, Performance testing, Agile, Regression testing, Selenium, Visual Studio, Test cases"
"Engineer II, Civil, Architecture, Cloud, IT infrastructure, Manager Technology, Management, rackspace"
"Automation, Project management, Performance testing, Agile, Regression testing, Selenium, Visual Studio, Test cases"
"Mechanical, Inspection, Industrial projects, Electricals, Industrial, Site engineering, Site, Project"
"health care services, equipment, orthopedics, ortho, nursing, medicine, patient care, general medicine"
"Performance tuning, Automation, Networking, VPN, Consulting, Javascript, Firmware, SCM"
"Telecom, VMware, Network design, VAS, Customer service, Network planning, Troubleshooting, Technical support"
"Redhat, Service level, Managed services, Performance management, Customer service, Troubleshooting, Resource management, Technical support"
"Medical affairs, Networking, Process orientation, Alliance management, Relationship building, Patient care, Oncology, Healthcare"
"CTQ, SAP, ISO, Quality Assurance Professional, Manufacturing process, External audit, Packaging, PFMEA"
"Unix, jQuery, LDAP, MySQL, PHP, HTML, Perl, Apache"
"Analytical skills, Data analysis, Excel, Sales operations, data governance, Data quality, data integrity, Salesforce CRM"
"Nodejs, front end, identity management, java, web services, saml, cloud foundry, business operations"
"PLSQL, SQL Development, SQL Scripting, Development, Scripting, SQL"
"aws glue, python, Data engineer, Snowflake, sql, Glue, Data, AWS"
"Sales, Student Counseling, Admission Counselling, Admission Counsellor, Academic counsellor, Edtech sales, Business Development, Education Counseling"
"B2C Marketing, Field Marketing, Field Sales Management, Direct Marketing, Field Sales, Direct Sales, Direct Selling, Field Work"
"cluster, windchill components, windchill advanced deployments, Windchill, Infrastructure management, Components, Management, Clustering"
"Service Training, Consumer Durables, Sales Training, Product Training, Process Training, Training And Development, Sales, Development"
"GenAI, LLM, NLP, Bert, Azure, Lstm, Neural Networks, GPT"
"IT services, Delivery excellence, Architecture, Project management, project governance, Management consulting, UAT, Gap analysis"
"PMP, Wealth management, Project management, Management consulting, Agile, Commercial banking, Scrum, JIRA"
"presentation skills, gcp, cloud infrastructure, troubleshooting, ocp, kubernetes, python, software development"
"redhat linux, elastic search, gcp, akamai, troubleshooting, kubernetes, continuous integration, c++"
"redhat linux, docker, gcp, kafka, troubleshooting, kubernetes, c++, openshift"
"S2P, Supply Chain Consulting, Supply Chain Management, Planning, Consulting, Management, Supply chain, Supply"
"Hadoop, Spark, Hdfs, Development, Big Data"
"OOPS, Machine Learning, Python, Data, Machine"
"JCL, Cobol, DB 2, Mainframes, DBMS, Mainframe Support, Db"
"cyberark, Core PAS, privileged access management, Vault, PAM, connectors, Access Management Iam, Secrets Management"
"SCCM, Flexera, FNMS, Development"
"CMDB, Discoverer, Itom, Servicenow Development, Development, Servicenow"
"Ab Initio, Etl Development, ETL Tool, Ab, Initio, ETL, Drives, Development"
"SSIS, SSAS, Ssis Etl, Msbi Stack, Ssa, ETL, MSBI, Drives"
"Java 8, Jenkins, Maven, Junit & Mockito, GIT, Swagger, Spring Boot, JSON"
"AutoCAD 3D, AutoCAD Mechanical, B-tech, Fresher, Mechanical Engineering, CATIA, Automobile Engineering, Autocad Drafting"
"networking, performance engineering, ruby, ethernet, linux, python, ubuntu, rhel"
"Certified, HCM, Workday Functional, Workday Integration, absence management, Workday Hcm, Talent Management, Core HR"
"sql server, software development life cycle, asp.net, troubleshooting, sdlc, c#, css, web services"
"risk management, mitigation, project management process, stakeholder management, aws, project management, management skills, program management"
"Excel Macros, Advanced Ms Excel, Excel VBA, Advanced Excel, Microsoft, VBA, Excel, MIS reporting"
"Java, React.Js, Spring Boot, Microservices, Stack, Full Stack, Development, Boot"
"Java, Angular, Spring Boot, Microservices, Development, Full Stack, Spring, Bootstrap"
"Java Spring Boot, Microservices, rest api, J2Ee, API, Java Development, Rest, Spring"
"SAP Ariba, SAP Development, SAP ERP, S/4 HANA, IT Consulting, Saps, SAP consulting, Technology"
"rpa, oracle, sap, business development, selling, general ledger accounting, accounts payable, customer service"
"amazon rds, gcp, linux, troubleshooting, aws, netezza, kubernetes, microsoft active directory"
"Data management, Cloud, Agile, Manager Technology, Data structures, Scrum, Application development, Management"
"Project Management, primary research, secondary research, data analysis, customer service, customer care, google analytics, sem"
"digital marketing, project management, presentation skills, campaign management, marketing, client handling, marketing strategies, team management"
"presentation skills, sales force development, salesforce, workflow analysis, salesforce integration, project management, data management, data migration"
"python, power bi, qlikview, r, spark, data management, hypothesis testing, spotfire"
"Performance tuning, Data management, spark, Cloud, Data structures, Business intelligence, big data, AWS"
"Publishing, Data management, Analytical, Machine learning, power bi, Scheduling, Application security, Business intelligence"
"Solution architecture, Cloud computing, Data migration, Architecture, Data management, data visualization, Business intelligence, SQL"
"Unix, Data management, Coding, Configuration management, Manager Technology, Data structures, Windows, Business intelligence"
"Functional Analysis, Requirement Gathering, Fusion Scm, Scm Cloud, Cloud, Fusion, SCM, Requirements"
"ATF, Servicenow, Testing, Automation Testing, Servicenow Itsm, Automation, Time, ITSM"
"netezza, metadata, sql queries, database administration, data modeling, snowflake, python, oracle"
"golang, dbms, linux, python, troubleshooting, kubernetes, curl, openldap"
"sales, iot, account management, salesforce, blockchain, advanced analytics, oracle, sap"
"css, javascript, sharepoint framework, html, process automation, c#, fso, technical leadership"
"solution architecting, java, shell scripting, openpages, ops, architecting, jsp, cognos tm1"
"data management, data warehousing, python, data analysis, supply chain, kubernetes, j2ee development, soa"
"microsoft azure, aws cloudformation, amazon ec2, mysql, mongodb, netezza, kubernetes, microsoft active directory"
"oracle, sql tuning, microsoft azure, sql server, sql, uddi, software testing, information technology"
"netezza, metadata, sql queries, database administration, data modeling, snowflake, python, oracle"
"database security, sql tuning, disaster recovery, database backup, db dba, kubernetes, continuous integration, python"
"gcp, linux, amazon rds, troubleshooting, aws, kubernetes, openldap, dbms"
"software development, spring boot, java, software engineering, agile, rest, version control, jsp"
"project management, campaign management, strategy consulting, marketing analytics, general management, sales growth, business transformation, research analysis"
"Marketing Automation, digital marketing, campaign management, display advertising, marketo, customer service, semrush, google analytics"
"netezza, metadata, sql queries, database administration, data modeling, snowflake, python, oracle"
"pardot, sales, salesforce, salesforce marketing cloud, sfmc, digital marketing, email marketing, ampscript"
"Angularjs, java, J2Ee, Java Fullstack, Spring Boot, React.Js, Rest Api Services, Development"
"Azure, Data Engineering, Java, Cloudera, Onpremise, Hadoop, SCALA, Spark"
"Guidewire developer, Batch Processing, Message Queue, Gosu, Gosu Scripting, Guidewire Development, Processing, Development"
"Marketing, marketing campaigns, marketing strategy, project management, Marketing management, marketing planning, Development, Management"
"Sales Engineering, Sales And Marketing, Technical Sales, Industrial Product Sales, Sales Executive Activities, Industrial Sales, OEM Sales, Industrial Machinery"
"Sales And Marketing, FMCG Sales, Sales, Management, Area management, Marketing"
"redux, ssi, react.js, react native, javascript, css, core javascript, unit testing"
"ssi, react.js, html, front end, npm, redux, css, dom"
"JBPM, J2Ee, bpm, Microservices, Development, Business process management"
"Workday Functional, Workday Finance Core, Record To Report, Accounting Centre, R2R, Prism, Reporting, Accounting"
"HCM, Compensation, Absence, Workday, Eib, Recruiting, Integrations, Time Tracking"
"ui, hcp, xml, sap fiori, sapui5, css, sap cloud platform, jquery"
"react.js, git, webpack, npm, javascript, redux, css, web services"
"project management, erp, freight, oracle fusion, digital transformation, oracle, sap, management skills"
"Clinical Data Management, Cdm, Clinical Trials, Medidata Rave, conduct, closeout, Startup, JDA"
"Procurement, Category Management, Artificial Intelligence, Digital Transformation, Supply Chain, Supply, Digital, Intelligence"
"fico, sap, fscm, collection management, end to end implementation, fixed assets, gl, presentation skills"
"Inside Sales, Loans, Credit cards, Lead Management, B2B Sales, Driving Sales, Revenue Generation, Professional Skills"
"DSA, Lap, Loan Against Property, Secured Loan, HL, Mortgage, Sales, Sales management"
"SCCM, windows os, center management, microsoft tools, release management, sccm administration, powershell scripting, mysql"
"Sentinel, Azure Sentinel, KQL, Microsoft Azure, Architecture"
"Presales, Solution Design, Solution Architecting, Solution Consulting, Architecting, Consulting, Design, Architecture"
"angular, Unit Testing, Typescript, Software testing, Hiring, Development, UNIT"
"HR Generalist Activities, Exit Interviews, onboarding, Employee Life Cycle, hr operations, induction, Joining Formalities, Hrsd"
"Microsoft Dynamics AX, Ax Technical, Dynamics 365, MS Dynamics AXAPTA, Microsoft Dynamics, Microsoft Dynamics AXAPTA, Microsoft Dynamics Ax Technical, Consulting"
"Vegetables, Fruit, Quality Check, Agriculture, LIFO, training, GMP, FIFO"
"Fault Management domain, solutioning, Product Roadmap, Portfolio, Architecture, Netcool, DNS, Noi"
"Sast, Dast, Technical Architecture, Technical, Architecture"
"Customer Service, Sales, technical sales, business development, B2B Sales, key account management, Key, Management"
"ICT, UTP, trunks, flex pipes, ducts, Fiber, fiber cables, EMT pipes"
"sd, project management, sap, ibp, ewm, cif, freight, sap sd"
"HCM Integration, Workday Functional, Workday Hcm, Workday Technical, Workday, Technical, Architecture, Integration"
"Custom Reports, Workday Integration, Core Connector, Workday Studio, Eib, Reporting, Integration, Custom"
"Cisco ACI, Nexus 9K, Routing And Switching, Data, Switching, Center, Cisco, Nexus"
"Corporate Tie-ups, Tpo, Corporate Relations, Corporate Relation, Placement, Placement Coordination, Training And Placement, Corporate Relationship Management"
"1065, 1120, Corporate Taxation, Federal Tax, Partnership Tax, Corporate, Taxation, Management"
"Individual Taxation, HNI, 1040, Management, Taxation"
"Category Management, E-commerce, Stock Planning, adobe analytics, flash sales, Business Development, Competitive Analysis, flash"
"Market Risk, Pricing, Model Validation, Python, Valuation, VAR, FRTB, Model Development"
"Investment Banking, Brd, FRD, Business analayst, Capital Market, Regulatory Reporting, Reference Data, Mifid"
"advanced analytics, data mining, machine learning, artificial intelligence, data science, python, data analysis, natural language processing"
"cnn, data analysis, natural language processing, machine learning, quantitative analysis, python, neural networks, artificial intelligence"
"Grievance Handling, Employee Engagement, Statutory Compliance, Recruitment, Training, PMS, Hrsd, Statutory"
"presentation skills, power bi, statistical modeling, data visualization, machine learning algorithms, python, data analysis, scala"
"retail, cpg, github, data analysis, machine learning, hive, pyspark, data warehousing"
"scala, gen, statistical modeling, vector, machine learning algorithms, advanced analytics, python, data analysis"
"github, python, data analysis, machine learning, retail analytics, hive, pyspark, data warehousing"
"accounts receivable, accounts payable, accounting, agile, finance, profitability, fixed assets, transaction processing"
"Printing, Career development, Crisis management, Reconciliation, MS Office, Security operations, Open source, Operations"
"Intern, Mutual funds, Leasing, Flex, Medical insurance, Customer experience, Management, Financial services"
"Intern, Social media, Mutual funds, Leasing, Medical insurance, Customer experience, Management, Financial services"
"VPN Configuration, Ticketing Tools, Service Desk, Active Directory, Service Now Ticketing, 0365, Servicenow, Desk"
"Inside Sales, Admission Counselling, Educational Sales, B2C Sales, Telesales, Education Counseling, Overseas Education, Sales"
"Malayalam, Tamil Voice Process, Outbound Calling, Calling, Process, Voice process, Outbound, Customer care"
"vendor management, flight, data analysis, international travel, administration, tourism, excel, holiday packages"
"new business, business development, sales, marketing, safety, digital analytics, team management, company audit"
"bill processing, order management, accounting, order to cash, debit note, order processing, accounts receivable, journal entries"
"information technology, technology operations, desktop management, microsoft windows, troubleshooting, project management, networking, system administration"
"debt collection, order to cash, reconciliation, cash applications, trade, operations management, internal control, back office"
"ledger, accounts receivable, order to cash, reconciliation, cash applications, operations management, journal entries, back office"
"accounts payable, pay, invoice processing, procure to pay, procurement, strategic sourcing, procurement operations, purchase"
"accounts reconciliation, ledger, accounts receivable, order to cash, account management, operations management, back office, reconciliation"
"bcm, internal audit, operations audit, records management, infosec, risk management, it security, project management"
"Customer Relationship, Customer Service, Customer Support, CSA, Cce, Customer Care, Relationship"
"back office operations, order to cash, ms office tools, client relationship, cash operations, operations management, customer service, cash management"
"accounts payable, procurement operations, invoice processing, procure to pay, procurement, strategic sourcing, purchase, purchase order"
"bill processing, order to cash, billing, email writing, ms office tools, vendor management, accounts receivable, operations management"
"customer service, service desk management, service desk, incident management, ms office suite, presentation skills, it service desk, problem management"
"information technology, technology operations, service desk management, service desk, voice support, project management, itil framework, customer service"
"accounts payable, procurement operations, invoice processing, procure to pay, procurement, strategic sourcing, purchase, purchase order"
"information technology, technology operations, service desk management, service desk, voice support, project management, python, customer service"
"bill processing, order management, order to cash, reconciliation, debit note, order processing, accounts receivable, journal entries"
"Housekeeping, servie, , Hospitality, Inspetion, Safety training, Management, Guest Servie Assoiate"
"Business services, Process optimization, Sales, Income tax, Customer calling, Customer service, Sales process, Continuous improvement"
"Procurement, Business services, Automation, French, Bidding, Sales, Mechanical, Siemens"
"Gold Loan Operations, Banking Sales, Banking Operation, Banking And Insurance, Banking Operations, Sales, Operations, Loan operations"
"Electrical Maintenance, Electrical Works, Electricals, Maintenance"
"Communication Skills, Customer Support, International Voice Process, International, Hiring, Voice process, Process, Voice"
"interviewing, ats, screening, hiring, social networking, interview coordination, sourcing, job posting"
"Performance tuning, Agile scrum, Technical design, Project management, Technical Lead, Pega, Continuous improvement, Release management"
"BPO, Financial statements, Payment processing, Coding, Accounting, Time management, Finance, Invoice processing"
"Data Science, Big Data Analytics, Logistic Regression, Ai Techniques, Artificial Intelligence, Data Mining, Data Extraction, Machine Learning"
"Integration, Business Analyst, Policy Center, Guidewire, Business analysis, Center"
"Field Sales, Credit Card Sales, GSS, Field Marketing, Enrollment, Casa Sales, Marketing, Pan"
"Presentation specialist, Powerpoint specialist, Power Point Presentation, Visualiser, Creative Designing, Graphic Designing, Design, Creative"
"Delivery excellence, Management consulting, Banking, Manager Technology, Consultancy, JIRA, Financial services, Excellence"
"Relationship management, Business Analyst, Wealth management, Bfsi, Business analysis, Analytical, Investment banking, Capital market"
"Financial Planning & Analysis, Financial Analysis, Financial Planning, Budgeting, Forecasting, RTR, R2R, KPI"
".net, AWS, Java, python, PaaS services, Spring, Restful APIs, PAAS"
"Java Spring Boot, React.Js, Microservices, Development, Full Stack, Bootstrap, Spring, Java"
"Vue.JS, Responsive Design, CSS, Javascript, HTML, Development, Front end, Front"
"Azure Data Factory, Azure Synapse, Azure Databricks, sql server, Pyspark, Python, Server, Factory"
"Microsoft Azure, AWS, Devops, Technology, Microsoft"
"Datastage, Ibm Datastage, Etl Datastage, ETL, Development"
"Servicenow, ITSM, Servicenow Development, Development"
"Video 360, Digital programmatic, Campaign Management, Double click campaign, Display Video, Ad Trafficking, Google Campaign, Campaign Planning"
"Opentext Vim, SAP Vim, Vendor Invoice Management, Abap, OCR, Implementation And Integration Projects, Invoicing, Vim"
"MS Dynamics CRM, .Net, Plugins, Dynamics, Microsoft, CRM, Microsoft Dynamics, Dynamic"
"SAP QM, SAP PP, Sap S4Hana, S4H, SAP PP Qm, PP, Saps, SAP"
"power automate, Powerapps, Model driven, Canvas, Power Platform, Drives"
"Servicenow, Cloud, Javascript, Devops, Servicenow Development, Development"
"Cloud, Outsystems Developer, Outsystems, Development"
"Exadata Database Administration, Dataguard, Oracle DBA, Patching, RMAN, Oracle, Exadata, Administration"
"Aem, Restful Web, Web Server, Workfront, Fusion, Shopbase, Management, Adobe Experience Management"
"Node.Js, MongoDB, Python, Development, Software, Software development"
"Post Merger Integration, Mergers, Acquisition, Transaction Advisory, Deal Structuring, Integration, Management, Dealing"
"D365 F&O, MS Dynamics D365, ssrs, X++, Dynamics, Technical, Microsoft, Management"
"D365 F&O, MS Dynamics D365, ssrs, X++, O, Microsoft Dynamics, Technical, Microsoft"
"it security, cloud security, hipaa, access management, identity access management, kubernetes, python, openshift"
"dbms, jenkins, sap hana, sap, sql server, web services, spring, memory management"
"oracle apps dba, sql server, ibm db2, mysql, postgresql administration, oracle, oracle rac, microsoft azure"
"investment banking, networking, capital market, recruitment, acquisition, financial analysis, project management, tracing"
"PeopleSoft Hrms, PeopleSoft Technical, PeopleSoft HCM, Consulting, Technical, PeopleSoft, HCM, Hiring"
"Azure, devops, AKS, DevOps Engineering, Cloud Fundamentals, Cloud Infra Architecture, DataOps Engineering, ADO"
"Configuration, solution design, implementation, Fusion SCM, functional consultant, Oracle Fusion Scm, Pre, Fusion"
"Java, aws, Spring Boot, Microservices, Java Development, Development, Boot, Spring"
"Java, Spring Boot, AWS, Microservices, Aws Cloud, Java Development, Cloud, Development"
"Java, GKE, Java Backend, Kafka, Spring Boot, MongoDB, Apache, Microservices"
